Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/9/17,2017-06-09T22:59:41.417Z,AMD,6/16/17,12.5,Put,12.26,4980,0.595986,SWEEP,10031,2639,296801,,FALSE,7,
6/9/17,2017-06-09T22:57:51.005Z,SPY,7/7/17,242,Call,243.43,2176,2.54,SWEEP,14161,763,552704,,FALSE,28,
6/9/17,2017-06-09T22:57:51.614Z,BAC,6/16/17,24,Call,23.64,1725,0.19,SWEEP,61336,204375,32775,,FALSE,7,
6/9/17,2017-06-09T22:54:27.879Z,BAC,6/16/17,24,Call,23.66,5250,0.18949,SWEEP,57570,204375,99482,,FALSE,7,
6/9/17,2017-06-09T22:45:19.979Z,QQQ,6/16/17,139.5,Put,139.59,1172,1.81155,SWEEP,20732,13982,212313,,FALSE,7,
6/9/17,2017-06-09T22:42:00.882Z,SPY,6/16/17,241,Put,242.98,4585,0.987077,SWEEP,44021,43041,452574,,FALSE,7,
6/9/17,2017-06-09T22:33:44.987Z,PFE,6/16/17,32.5,Put,32.71,2876,0.219082,SWEEP,9295,11778,63007,,FALSE,7,
6/9/17,2017-06-09T22:28:53.279Z,SPY,7/7/17,242,Call,243.32,2896,2.5,BLOCK,7763,763,724000,,FALSE,28,
6/9/17,2017-06-09T22:26:45.977Z,SPY,6/16/17,243,Put,243.34,1011,1.60506,SWEEP,33403,22398,162271,,FALSE,7,
6/9/17,2017-06-09T22:23:48.922Z,VRX,6/16/17,12,Put,12.55,1493,0.2,SWEEP,3275,5937,29860,,FALSE,7,
6/9/17,2017-06-09T22:21:16.126Z,VRX,6/16/17,12,Put,12.52,1000,0.2,SWEEP,1782,5937,20000,,FALSE,7,
6/9/17,2017-06-09T22:20:02.051Z,XLE,6/16/17,66,Put,66.26,1067,0.745745,SWEEP,7209,7098,79570,,FALSE,7,
6/9/17,2017-06-09T22:19:03.620Z,AMD,6/9/17,12.5,Put,12.31,1713,0.225756,SWEEP,26910,6104,38672,,FALSE,0,
6/9/17,2017-06-09T22:17:49.486Z,FB,01/18(M),150,Call,149.44,1000,12.4646,SWEEP,12122,23961,1246460,,FALSE,587,
6/9/17,2017-06-09T22:16:09.906Z,SPY,12/29/17,234,Put,243.14,1000,6.46,BLOCK,1014,237,646000,,FALSE,203,
6/9/17,2017-06-09T22:13:26.253Z,QQQ,6/23/17,140,Put,140.02,1000,2,BLOCK,14230,7918,200000,,FALSE,14,
6/9/17,2017-06-09T22:11:10.264Z,PFE,6/16/17,32.5,Put,32.74,1318,0.16,SWEEP,1523,11778,21088,,FALSE,7,
